id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
96,1,1,1,https://angdian.sdju.edu.cn,angdian.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¸_µ·_µæ_å­¦é_èµ_º§ç»____,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
107,1,1,1,http://angdian.sdju.edu.cn,angdian.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¸_µ·_µæ_å­¦é_èµ_º§ç»____,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
35,0,1,1,http://authserver.sdju.edu.cn,authserver.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,80,500,Internal Server Error,ç»__èº»½è®¤è_,openresty,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
51,0,1,1,https://authserver.sdju.edu.cn,authserver.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,443,500,Internal Server Error,ç»__èº»½è®¤è_,openresty,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
103,1,1,1,https://bwc.sdju.edu.cn,bwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¿__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
146,1,1,1,http://bwc.sdju.edu.cn,bwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¿__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
90,1,1,1,https://career.sdju.edu.cn,career.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¸_µ·_µæ_å­¦é_å°±ä_ä¿¡æ____ç½,"Server            ,ASP.NET",101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
94,1,1,1,http://career.sdju.edu.cn,career.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¸_µ·_µæ_å­¦é_å°±ä_ä¿¡æ____ç½,"Server            ,ASP.NET",101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
177,1,1,1,https://chengjiao.sdju.edu.cn,chengjiao.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ç»§ç»­___å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
179,1,1,1,http://chengjiao.sdju.edu.cn,chengjiao.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ç»§ç»­___å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
71,1,1,1,https://cwc.sdju.edu.cn,cwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,è´¢å_å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
95,1,1,1,http://cwc.sdju.edu.cn,cwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,è´¢å_å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
38,1,1,1,https://cwcx.sdju.edu.cn,cwcx.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,443,403,Forbidden,403 - ç¦_è®¿é_: è®¿é_è¢_ç»_,"Server           ,ASP.NET",101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,QianXunQuery
52,1,1,1,http://cwcx.sdju.edu.cn,cwcx.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,80,403,Forbidden,403 - ç¦_è®¿é_: è®¿é_è¢_ç»_,"Server           ,ASP.NET",101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,QianXunQuery
89,1,1,1,https://cyy.sdju.edu.cn,cyy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,äº§ä____ç©¶é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,AlienVaultQuery
129,1,1,1,http://cyy.sdju.edu.cn,cyy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,äº§ä____ç©¶é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,AlienVaultQuery
171,1,1,1,http://dangan.sdju.edu.cn,dangan.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,æ¡£æé¦,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
176,1,1,1,https://dangan.sdju.edu.cn,dangan.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,æ¡£æé¦,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
113,1,1,1,https://ddh.sdju.edu.cn,ddh.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,__»£ä¼,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
136,1,1,1,http://ddh.sdju.edu.cn,ddh.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,__»£ä¼,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
174,1,1,1,https://djsyzx.sdju.edu.cn,djsyzx.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_µæ_å®____ç¤ºè_ä¸_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
178,1,1,1,http://djsyzx.sdju.edu.cn,djsyzx.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_µæ_å®____ç¤ºè_ä¸_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
82,1,1,1,http://dqxy.sdju.edu.cn,dqxy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_µæ_å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
86,1,1,1,https://dqxy.sdju.edu.cn,dqxy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_µæ_å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
173,1,1,1,https://dsxx.sdju.edu.cn,dsxx.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,___å­¦ä____ä¸_ç½__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
181,1,1,1,http://dsxx.sdju.edu.cn,dsxx.sdju.edu.cn,3,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,___å­¦ä____ä¸_ç½__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,Finder
85,1,1,1,https://dtxy.sdju.edu.cn,dtxy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,None,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,RiddlerQuery
144,1,1,1,http://dtxy.sdju.edu.cn,dtxy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,None,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,RiddlerQuery
36,1,1,1,http://dwgk.sdju.edu.cn,dwgk.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_____ç½,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
78,1,1,1,https://dwgk.sdju.edu.cn,dwgk.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_____ç½,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
26,1,1,1,http://ehall.sdju.edu.cn,ehall.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,,__¤ºä¿¡æ_,Server      ,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
170,0,0,1,https://ehall.sdju.edu.cn,ehall.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='ehall.sdju.edu.cn', port=443): Read timed out. (read timeout=27)""),)",,,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
154,0,0,1,http://energyinfo.sdju.edu.cn,energyinfo.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='energyinfo.sdju.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x10b1a4bb0>, 'Connection to energyinfo.sdju.edu.cn timed out. (connect timeout=13)'))""),)",,,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,QianXunQuery
158,0,0,1,https://energyinfo.sdju.edu.cn,energyinfo.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='energyinfo.sdju.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x10b135310>, 'Connection to energyinfo.sdju.edu.cn timed out. (connect timeout=13)'))""),)",,,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,QianXunQuery
28,1,1,1,http://english.sdju.edu.cn,english.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¸_µ·_µæ_å­¦é__±æ_ç½,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
114,1,1,1,https://english.sdju.edu.cn,english.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¸_µ·_µæ_å­¦é__±æ_ç½,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
131,1,1,1,http://ghc.sdju.edu.cn,ghc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,___è§__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,AlienVaultQuery
135,1,1,1,https://ghc.sdju.edu.cn,ghc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,___è§__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,AlienVaultQuery
102,1,1,1,https://gjs.sdju.edu.cn,gjs.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,é«______²ç_ç©¶æ_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
120,1,1,1,http://gjs.sdju.edu.cn,gjs.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,é«______²ç_ç©¶æ_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
76,1,1,1,https://gonghui.sdju.edu.cn,gonghui.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
99,1,1,1,http://gonghui.sdju.edu.cn,gonghui.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
91,1,1,1,http://guojijl.sdju.edu.cn,guojijl.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_½é____ä¸_º¤æµ_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
115,1,1,1,https://guojijl.sdju.edu.cn,guojijl.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_½é____ä¸_º¤æµ_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
81,1,1,1,http://gzxy.sdju.edu.cn,gzxy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,é«__å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,RiddlerQuery
137,1,1,1,https://gzxy.sdju.edu.cn,gzxy.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,é«__å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,RiddlerQuery
138,1,1,1,https://houqin.sdju.edu.cn,houqin.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_»å__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
141,1,1,1,http://houqin.sdju.edu.cn,houqin.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_»å__,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
12,1,1,1,https://hqgl.sdju.edu.cn,hqgl.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,,'\n\n\n\n\n\nLoading ...\n\n\n',,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
21,1,1,1,http://hqgl.sdju.edu.cn,hqgl.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,,'\n\n\n\n\n\nLoading ...\n\n\n',,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
16,1,1,1,https://hr.sdju.edu.cn,hr.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,äººå_èµ__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
72,1,1,1,http://hr.sdju.edu.cn,hr.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,äººå_èµ__å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
31,1,1,1,http://idp.sdju.edu.cn,idp.sdju.edu.cn,1,idp.sdju.edu.cn,210.35.68.169,1,1,80,200,OK,'\n',Server,210.35.68.0/22,AS4538,China Education and Research Network Center,ä¸_ä¸_µ·ä¸_µ·å¸,___ç½,CrtshQuery
34,1,1,1,https://idp.sdju.edu.cn,idp.sdju.edu.cn,1,idp.sdju.edu.cn,210.35.68.169,1,1,443,200,OK,'\n',Apache,210.35.68.0/22,AS4538,China Education and Research Network Center,ä¸_ä¸_µ·ä¸_µ·å¸,___ç½,CrtshQuery
163,0,0,1,https://imap.sdju.edu.cn,imap.sdju.edu.cn,1,hwhz.qiye.ntes53.netease.com,3.65.106.51,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='imap.sdju.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x10b1a4730>, 'Connection to imap.sdju.edu.cn timed out. (connect timeout=13)'))""),)",,,3.64.0.0/12,AS-,-,ç¾_____é¡,äº_©¬_,QianXunQuery
165,0,0,1,http://imap.sdju.edu.cn,imap.sdju.edu.cn,1,hwhz.qiye.ntes53.netease.com,3.65.106.51,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='imap.sdju.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x109db9f70>, 'Connection to imap.sdju.edu.cn timed out. (connect timeout=13)'))""),)",,,3.64.0.0/12,AS-,-,ç¾_____é¡,äº_©¬_,QianXunQuery
73,1,1,1,https://info.sdju.edu.cn,info.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,ä¿¡æ___¸­å¿,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
147,1,1,1,http://info.sdju.edu.cn,info.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,ä¿¡æ___¸­å¿,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
122,1,1,1,https://jgdw.sdju.edu.cn,jgdw.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_ºå___,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
139,1,1,1,http://jgdw.sdju.edu.cn,jgdw.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_ºå___,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,BaiduSearch
121,1,1,1,https://jixie.sdju.edu.cn,jixie.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,_ºæ_å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
140,1,1,1,http://jixie.sdju.edu.cn,jixie.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,_ºæ_å­¦é_,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,SiteDossierQuery
48,1,1,1,https://jsfzzx.sdju.edu.cn,jsfzzx.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,None,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
97,1,1,1,http://jsfzzx.sdju.edu.cn,jsfzzx.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,None,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
7,1,1,1,https://jwbgs.sdju.edu.cn,jwbgs.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,çº___å®,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
45,1,1,1,http://jwbgs.sdju.edu.cn,jwbgs.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,çº___å®,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
43,1,1,1,https://jwc.sdju.edu.cn,jwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,443,200,OK,___å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
44,1,1,1,http://jwc.sdju.edu.cn,jwc.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,___å¤,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
46,1,1,1,http://jxpg.sdju.edu.cn,jxpg.sdju.edu.cn,1,sd.sdju.edu.cn,101.230.228.74,1,1,80,200,OK,None,Server,101.230.224.0/20,AS4812,China Telecom (Group),ä¸_ä¸_µ·ä¸_µ·å¸,_µä¿¡,IP138Query
